,Search,Tweet_Date,Original_Tweet,Cleaned_Text,leia,oplexion,sentilex,textblob
3000,Bolsonaro,2022-04-17,Derrotar Bolsonaro? Como enfrentar a desinformação e Ignorância ostentaç... https://t.co/oEHc4auZ79 via @YouTube,derrotar bolsonaro  enfrentar desinformacao ignorancia ostentac    via,negativo,neutro,neutro,neutro
3001,Bolsonaro,2022-04-17,"@BolsonaroSP 👏🏽👏🏽👏🏽👏🏽,essa é a nossa verdadeira pesquisa, às outras são fajutas ,Bolsonaro rumo à 2022reeleito, pt nunca mais", essa verdadeira pesquisa  outras fajutas  bolsonaro rumo reeleito  pt nunca,positivo,neutro,neutro,positivo
3002,Bolsonaro,2022-04-17,"@PatriotaJB2022 @pauloeneas É tanta desculpa,  chega ser ridículo,  como se achassem as pessoas sem capacidade de pensar, de discernir. Votamos no Bolsonaro para não fazer exatamente o que ele fez, aliado com esta imundice do centrão.",tanta desculpa  chega ser ridiculo  achassem pessoas capacidade pensar  discernir  votamos bolsonaro fazer exatamente fez  aliado imundice centrao ,negativo,neutro,neutro,negativo
3003,Bolsonaro,2022-04-17,"mentira, o maior animal do mundo é o bolsonaro https://t.co/RnKWZX0N17",mentira  maior animal mundo bolsonaro,positivo,negativo,negativo,neutro
3004,Bolsonaro,2022-04-17,Balanço do Governo Bolsonaro! Compartilhem 😉 https://t.co/NPyXUMyAzt,balanco governo bolsonaro  compartilhem,neutro,neutro,neutro,neutro
3005,Bolsonaro,2022-04-17,@jose_simao Bolsonaro voltou a afirmar que seu governo está há 3 anos e 3 meses sem qualquer indício de ereção. https://t.co/uck4asJq8f,bolsonaro voltou afirmar governo anos meses qualquer indicio erecao ,neutro,neutro,neutro,neutro
3006,Bolsonaro,2022-04-17,"@kellymazinha1 A Barbara fez este tuíte em 2020, quando todos apoiávamos o Weintraub que vinha sendo massacrado !
Só agora se revelou um traidor ! Prestem atenção na posição  dela em relação ao governo Bolsonaro !Sempre  apoiou.
Direita unida  é o que precisamos !",barbara fez tuite   todos apoiavamos weintraub vinha sendo massacrado   agora revelou traidor   prestem atencao posicao relacao governo bolsonaro  sempre apoiou  direita unida precisamos  ,negativo,negativo,negativo,positivo
3007,Bolsonaro,2022-04-17,"@Guilhera_Alves @siteptbr Sim,concordo,mas uma balbúrdia destas não justifica -se. O povo brasileiro adora uma balbúrdia. (Não sou apoiador do bolsonaro)",sim concordo mas balburdia destas justifica  se  povo brasileiro adora balburdia   nao apoiador bolsonaro ,positivo,neutro,neutro,negativo
3008,Bolsonaro,2022-04-17,"@folha Mas não era para ficar em casa??? Vocês mesmos apoiaram isso, mesmo o Pr. Bolsonaro dizendo que haveria consequências? Agora estão reclamando??
Tomem vergonha na cara!",ficar casa    mesmos apoiaram isso  pr  bolsonaro dizendo haveria consequencias  agora reclamando   tomem vergonha cara ,negativo,neutro,neutro,neutro
3009,Bolsonaro,2022-04-17,Guga Noblat tenta lacrar contra Bolsonaro e ofende cristãos em plena Pás... https://t.co/qGiAJynMKz via @YouTube,guga noblat tenta lacrar contra bolsonaro ofende cristaos plena pas    via,negativo,neutro,neutro,negativo
