,Search,Tweet_Date,Original_Tweet
0,Bolsonaro,2022-04-17,Derrotar Bolsonaro? Como enfrentar a desinformação e Ignorância ostentaç... https://t.co/oEHc4auZ79 via @YouTube
1,Bolsonaro,2022-04-17,"@BolsonaroSP 👏🏽👏🏽👏🏽👏🏽,essa é a nossa verdadeira pesquisa, às outras são fajutas ,Bolsonaro rumo à 2022reeleito, pt nunca mais"
2,Bolsonaro,2022-04-17,"@PatriotaJB2022 @pauloeneas É tanta desculpa,  chega ser ridículo,  como se achassem as pessoas sem capacidade de pensar, de discernir. Votamos no Bolsonaro para não fazer exatamente o que ele fez, aliado com esta imundice do centrão."
3,Bolsonaro,2022-04-17,"mentira, o maior animal do mundo é o bolsonaro https://t.co/RnKWZX0N17"
4,Bolsonaro,2022-04-17,Balanço do Governo Bolsonaro! Compartilhem 😉 https://t.co/NPyXUMyAzt
5,Bolsonaro,2022-04-17,@jose_simao Bolsonaro voltou a afirmar que seu governo está há 3 anos e 3 meses sem qualquer indício de ereção. https://t.co/uck4asJq8f
6,Bolsonaro,2022-04-17,"@kellymazinha1 A Barbara fez este tuíte em 2020, quando todos apoiávamos o Weintraub que vinha sendo massacrado !
Só agora se revelou um traidor ! Prestem atenção na posição  dela em relação ao governo Bolsonaro !Sempre  apoiou.
Direita unida  é o que precisamos !"
7,Bolsonaro,2022-04-17,"@Guilhera_Alves @siteptbr Sim,concordo,mas uma balbúrdia destas não justifica -se. O povo brasileiro adora uma balbúrdia. (Não sou apoiador do bolsonaro)"
8,Bolsonaro,2022-04-17,"@folha Mas não era para ficar em casa??? Vocês mesmos apoiaram isso, mesmo o Pr. Bolsonaro dizendo que haveria consequências? Agora estão reclamando??
Tomem vergonha na cara!"
9,Bolsonaro,2022-04-17,Guga Noblat tenta lacrar contra Bolsonaro e ofende cristãos em plena Pás... https://t.co/qGiAJynMKz via @YouTube
10,Bolsonaro,2022-04-17,"@SergioAJBarrett Minha auto censura desautoriza usar os adjetivos cabíveis, para qualificar escórias políticas como Jair Bolsonaro. Este monstro precisa ser detido imediatamente. Engana-se quem pensa que só existe Ditaduras, com as instituições fechadas, basta cooptá-las."
11,Bolsonaro,2022-04-17,"EI BOLSONARO VAI TOMAR NO CU 
AQUI NÃO 🐳⚪⚫ https://t.co/MXMiVJJKs9"
12,Bolsonaro,2022-04-17,@VictorBrazil55 Eu não aguento mais sustentar vagabundo político igual família Bolsonaro e seus aliados
13,Bolsonaro,2022-04-17,"@horaciohudson @DeputadoFederal Se o Lula é  o pai da mentira, Bolsonaro é o avô dela.🤠🧓"
14,Bolsonaro,2022-04-17,O Presidente Bolsonaro tem meu voto garantido. https://t.co/v7XsIjiEFn
15,Bolsonaro,2022-04-17,@Biakicis Não conheço ninguém que não apoia Bolsonaro!
16,Bolsonaro,2022-04-17,@roxmo Bolsonaro deve estar chorando um rio por causa disso....kkkkk
17,Bolsonaro,2022-04-17,"O bozo deve estar com saudades do lockdown. Agora, em qualquer aglomeraçãozinha, o coro é: Ei bolsonaro, vtnc!
🤣🤣🤣🤣"
18,Bolsonaro,2022-04-17,Aparentemente Bolsonaro não é norte Bolsonaro não é nordeste https://t.co/vzRIr7y2Vl
19,Bolsonaro,2022-04-17,"@detremura Não.
A gente que já está acostumado a lidar com pragas.  Tai o Bolsonaro completando 4 anos de desgoverno"
20,Bolsonaro,2022-04-17,Anitta arregou - Percebeu a força do Bolsonaro e disse que vai ficar calada https://t.co/djcnTZyA9N via @YouTube
